Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.001345792, 0, 0, 0, 0, 1, 0, 0, 0
0.001363375, 1, 0, 0, 0, 1, 0, 0, 0
0.001372167, 0, 0, 0, 0, 1, 0, 0, 0
0.001389750, 1, 0, 0, 0, 1, 0, 0, 0
0.001398583, 0, 0, 0, 0, 1, 0, 0, 0
0.001416125, 1, 0, 0, 0, 1, 0, 0, 0
0.001424958, 0, 0, 0, 0, 1, 0, 0, 0
0.001442542, 1, 0, 0, 0, 1, 0, 0, 0
0.001451333, 0, 0, 0, 0, 1, 0, 0, 0
0.001468917, 1, 0, 0, 0, 1, 0, 0, 0
0.001477750, 0, 0, 0, 0, 1, 0, 0, 0
0.001495292, 1, 0, 0, 0, 1, 0, 0, 0
0.001504125, 0, 0, 0, 0, 1, 0, 0, 0
0.001521708, 1, 0, 0, 0, 1, 0, 0, 0
0.001530500, 0, 0, 0, 0, 1, 0, 0, 0
0.001548083, 1, 0, 0, 0, 1, 0, 0, 0
0.001556917, 0, 0, 0, 0, 1, 0, 0, 0
0.001574500, 1, 0, 0, 0, 1, 0, 0, 0
0.001583292, 0, 0, 0, 0, 1, 0, 0, 0
0.001600875, 1, 0, 0, 0, 1, 0, 0, 0
0.001609667, 0, 0, 0, 0, 1, 0, 0, 0
0.001627250, 1, 0, 0, 0, 1, 0, 0, 0
0.001636083, 0, 0, 0, 0, 1, 0, 0, 0
0.001653667, 1, 0, 0, 0, 1, 0, 0, 0
0.001662458, 0, 0, 0, 0, 1, 0, 0, 0
0.001680042, 1, 0, 0, 0, 1, 0, 0, 0
0.001688875, 0, 0, 0, 0, 1, 0, 0, 0
0.001706458, 1, 0, 0, 0, 1, 0, 0, 0
0.001715250, 0, 0, 0, 0, 1, 0, 0, 0
0.001732833, 1, 0, 0, 0, 1, 0, 0, 0
0.001741625, 0, 0, 0, 0, 1, 0, 0, 0
0.001759208, 1, 0, 0, 0, 1, 0, 0, 0
0.001768042, 0, 0, 0, 0, 1, 0, 0, 0
0.001785625, 1, 0, 0, 0, 1, 0, 0, 0
0.001794417, 0, 0, 0, 0, 1, 0, 0, 0
0.001812000, 1, 0, 0, 0, 1, 0, 0, 0
0.001820833, 0, 0, 0, 0, 1, 0, 0, 0
0.001838417, 1, 0, 0, 0, 1, 0, 0, 0
0.001847208, 0, 0, 0, 0, 1, 0, 0, 0
0.001864792, 1, 0, 0, 0, 1, 0, 0, 0
0.001873583, 0, 0, 0, 0, 1, 0, 0, 0
0.001891167, 1, 0, 0, 0, 1, 0, 0, 0
0.001900000, 0, 0, 0, 0, 1, 0, 0, 0
0.001917583, 1, 0, 0, 0, 1, 0, 0, 0
0.001926375, 0, 0, 0, 0, 1, 0, 0, 0
0.001943958, 1, 0, 0, 0, 1, 0, 0, 0
0.001952750, 0, 0, 0, 0, 1, 0, 0, 0
0.001970375, 1, 0, 0, 0, 1, 0, 0, 0
0.001979167, 0, 0, 0, 0, 1, 0, 0, 0
0.001996750, 1, 0, 0, 0, 1, 0, 0, 0
0.002005542, 0, 0, 0, 0, 1, 0, 0, 0
0.002023125, 1, 0, 0, 0, 1, 0, 0, 0
0.002031958, 0, 0, 0, 0, 1, 0, 0, 0
0.002049542, 1, 0, 0, 0, 1, 0, 0, 0
0.002058333, 0, 0, 0, 0, 1, 0, 0, 0
0.002075917, 1, 0, 0, 0, 1, 0, 0, 0
0.002084708, 0, 0, 0, 0, 1, 0, 0, 0
0.002102333, 1, 0, 0, 0, 1, 0, 0, 0
0.002111125, 0, 0, 0, 0, 1, 0, 0, 0
0.002128708, 1, 0, 0, 0, 1, 0, 0, 0
0.002137500, 0, 0, 0, 0, 1, 0, 0, 0
0.002155083, 1, 0, 0, 0, 1, 0, 0, 0
0.002163875, 0, 0, 0, 0, 1, 0, 0, 0
0.002181500, 1, 0, 0, 0, 1, 0, 0, 0
